ChallengeLevel	Scalar
1	1
2	1
3	1.08
4	1.1664
5	1.259712
6	1.36048896
7	1.469328077
8	1.586874323
9	1.713824269
10	1.85093021
11	1.999004627
12	2.158924997
13	2.331638997
14	2.518170117
15	2.719623726
16	2.937193624
17	3.172169114
18	3.425942643
19	3.700018055
20	3.996019499
21	4.315701059
22	4.660957144
23	5.033833715
24	5.436540413
25	5.871463646
26	6.341180737
27	6.848475196
28	7.396353212
29	7.988061469
30	8.627106386
31	9.317274897
32	10.06265689
33	10.86766944
34	11.737083
35	12.67604964
36	13.69013361
37	14.78534429
38	15.96817184
39	17.24562558
40	18.62527563
41	20.11529768
42	21.7245215
43	23.46248322
44	25.33948187
45	27.36664042
46	29.55597166
47	31.92044939
48	34.47408534
49	37.23201217
50	40.21057314
